seed,pair,layer_id,metric_name,value,step_a,step_b
0,1-2,0,top1_agreement,0.42745535714285715,1500,1500
0,1-2,0,nestedness,0.6192956349206349,1500,1500
0,1-2,0,spearman,0.826218843460083,1500,1500
0,1-2,1,top1_agreement,0.2963479662698413,1500,1500
0,1-2,1,nestedness,0.45231894841269843,1500,1500
0,1-2,1,spearman,0.7120336890220642,1500,1500
0,1-2,2,top1_agreement,0.23781622023809523,1500,1500
0,1-2,2,nestedness,0.3724888392857143,1500,1500
0,1-2,2,spearman,0.5966847538948059,1500,1500
0,1-2,3,top1_agreement,0.19928075396825398,1500,1500
0,1-2,3,nestedness,0.32471478174603174,1500,1500
0,1-2,3,spearman,0.4938715994358063,1500,1500
0,1-2,4,top1_agreement,0.1640625,1500,1500
0,1-2,4,nestedness,0.26209077380952384,1500,1500
0,1-2,4,spearman,0.44351130723953247,1500,1500
0,1-2,5,top1_agreement,0.16880580357142858,1500,1500
0,1-2,5,nestedness,0.2679811507936508,1500,1500
0,1-2,5,spearman,0.42111945152282715,1500,1500
0,1-2,6,top1_agreement,0.1398499503968254,1500,1500
0,1-2,6,nestedness,0.24578373015873015,1500,1500
0,1-2,6,spearman,0.4299146234989166,1500,1500
0,1-2,7,top1_agreement,0.20833333333333334,1500,1500
0,1-2,7,nestedness,0.31628224206349204,1500,1500
0,1-2,7,spearman,0.5078354477882385,1500,1500
0,1-3,0,top1_agreement,0.43461681547619047,1500,1500
0,1-3,0,nestedness,0.7282366071428571,1500,1500
0,1-3,0,spearman,0.8222017884254456,1500,1500
0,1-3,1,top1_agreement,0.2990141369047619,1500,1500
0,1-3,1,nestedness,0.5928819444444444,1500,1500
0,1-3,1,spearman,0.7111430168151855,1500,1500
0,1-3,2,top1_agreement,0.21704489087301587,1500,1500
0,1-3,2,nestedness,0.46943204365079366,1500,1500
0,1-3,2,spearman,0.5993958711624146,1500,1500
0,1-3,3,top1_agreement,0.19205729166666666,1500,1500
0,1-3,3,nestedness,0.38913690476190477,1500,1500
0,1-3,3,spearman,0.4938986897468567,1500,1500
0,1-3,4,top1_agreement,0.16192336309523808,1500,1500
0,1-3,4,nestedness,0.35301959325396826,1500,1500
0,1-3,4,spearman,0.43706241250038147,1500,1500
0,1-3,5,top1_agreement,0.15773809523809523,1500,1500
0,1-3,5,nestedness,0.3329923115079365,1500,1500
0,1-3,5,spearman,0.403908371925354,1500,1500
0,1-3,6,top1_agreement,0.13702876984126985,1500,1500
