pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-6,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-6,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-6,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-6,nestedness,up_delta_loss,3,0.14999904809836404,0.5,0.6504668382109787,0.2093699091956729
1-6,nestedness,down_delta_loss,3,0.9814148071983904,0.5,0.6504668382109787,1.2359552771326097
1-6,nestedness,mean_abs_delta_loss,3,0.6080322093463602,1.0,0.6504668382109787,0.7226625931641412
1-6,spearman,up_delta_loss,3,-0.3739833430287953,-0.5,0.5600043733914694,0.2093699091956729
1-6,spearman,down_delta_loss,3,0.9424970798388382,1.0,0.5600043733914694,1.2359552771326097
1-6,spearman,mean_abs_delta_loss,3,0.11942626607816914,0.5,0.5600043733914694,0.7226625931641412
1-6,top1_agreement,up_delta_loss,3,-0.9938622999458543,-1.0,0.23163778315145503,0.2093699091956729
1-6,top1_agreement,down_delta_loss,3,-0.06826923979333763,0.5,0.23163778315145503,1.2359552771326097
1-6,top1_agreement,mean_abs_delta_loss,3,-0.9240852485890211,-0.5,0.23163778315145503,0.7226625931641412
1-6,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-6,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-6,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-7,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-7,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-7,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-7,nestedness,up_delta_loss,3,-0.26452931571265037,-0.5,0.6960010023974869,0.26357975712528936
1-7,nestedness,down_delta_loss,3,0.22351068866537707,0.5,0.6960010023974869,1.3523140600118688
1-7,nestedness,mean_abs_delta_loss,3,0.108108193187638,0.5,0.6960010023974869,0.807946908568579
1-7,spearman,up_delta_loss,3,-0.2544959417479054,-0.5,0.5646104613939921,0.26357975712528936
1-7,spearman,down_delta_loss,3,0.23362497980021962,0.5,0.5646104613939921,1.3523140600118688
1-7,spearman,mean_abs_delta_loss,3,0.11843065388421355,0.5,0.5646104613939921,0.807946908568579
1-7,top1_agreement,up_delta_loss,3,-0.9433116288199577,-1.0,0.23429749503968256,0.26357975712528936
1-7,top1_agreement,down_delta_loss,3,-0.6738002189951802,-0.5,0.23429749503968256,1.3523140600118688
1-7,top1_agreement,mean_abs_delta_loss,3,-0.7555116140815005,-0.5,0.23429749503968256,0.807946908568579
1-7,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-7,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-7,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-8,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-8,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-8,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-8,nestedness,up_delta_loss,3,-0.4737477203523794,-0.5,0.7308291480654763,0.3126117073038898
1-8,nestedness,down_delta_loss,3,0.9201767345232463,1.0,0.7308291480654763,1.4761587163758658
1-8,nestedness,mean_abs_delta_loss,3,0.45577870736639986,0.5,0.7308291480654763,0.8943852118398778
1-8,spearman,up_delta_loss,3,-0.5507817858474254,-0.5,0.5648005604743958,0.3126117073038898
1-8,spearman,down_delta_loss,3,0.8813786192374279,1.0,0.5648005604743958,1.4761587163758658
1-8,spearman,mean_abs_delta_loss,3,0.3741571807316042,0.5,0.5648005604743958,0.8943852118398778
1-8,top1_agreement,up_delta_loss,3,-0.9975166332452293,-1.0,0.23454421916335977,0.3126117073038898
1-8,top1_agreement,down_delta_loss,3,0.020785708283335123,0.5,0.23454421916335977,1.4761587163758658
1-8,top1_agreement,mean_abs_delta_loss,3,-0.6245050007312324,-0.5,0.23454421916335977,0.8943852118398778
1-8,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-8,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-8,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
2-3,coactivation_cosine,up_delta_loss,3,0.06380746968536243,0.5,0.9391388717916742,-0.007242586877610942
2-3,coactivation_cosine,down_delta_loss,3,-0.36741140762052965,-0.5,0.9391388717916742,0.04225975148892273
2-3,coactivation_cosine,mean_abs_delta_loss,3,-0.15440714215274842,-0.5,0.9391388717916742,0.024751169183266836
2-3,nestedness,up_delta_loss,3,-0.6660477641679659,-0.5,0.6242333467675264,-0.007242586877610942
2-3,nestedness,down_delta_loss,3,0.40458431688960744,0.5,0.6242333467675264,0.04225975148892273
2-3,nestedness,mean_abs_delta_loss,3,0.5953659922583733,0.5,0.6242333467675264,0.024751169183266836
2-3,spearman,up_delta_loss,3,0.911218160556865,1.0,0.7444091240564982,-0.007242586877610942
2-3,spearman,down_delta_loss,3,-0.9937131607898572,-1.0,0.7444091240564982,0.04225975148892273
2-3,spearman,mean_abs_delta_loss,3,-0.9449390251414891,-1.0,0.7444091240564982,0.024751169183266836
2-3,top1_agreement,up_delta_loss,3,-0.9839862222385516,-1.0,0.48208472842261907,-0.007242586877610942
2-3,top1_agreement,down_delta_loss,3,0.9911458057922884,1.0,0.48208472842261907,0.04225975148892273
2-3,top1_agreement,mean_abs_delta_loss,3,0.9961282475106961,1.0,0.48208472842261907,0.024751169183266836
2-3,top_pair_overlap,up_delta_loss,3,0.5796152285133527,0.8660254037844387,0.1574074074074074,-0.007242586877610942
2-3,top_pair_overlap,down_delta_loss,3,-0.8019963076133124,-0.8660254037844387,0.1574074074074074,0.04225975148892273
2-3,top_pair_overlap,mean_abs_delta_loss,3,-0.6514036446011268,-0.8660254037844387,0.1574074074074074,0.024751169183266836
2-4,coactivation_cosine,up_delta_loss,3,0.7003301571284586,0.5,0.932810648704594,0.008410199294014578
2-4,coactivation_cosine,down_delta_loss,3,-0.9924292646594473,-1.0,0.932810648704594,0.13623745826186331
2-4,coactivation_cosine,mean_abs_delta_loss,3,-0.8021979670582121,-0.5,0.932810648704594,0.07232382877793894
2-4,nestedness,up_delta_loss,3,-0.7392996812167617,-1.0,0.6846045438574735,0.008410199294014578
2-4,nestedness,down_delta_loss,3,-0.08592900784111387,0.5,0.6846045438574735,0.13623745826186331
2-4,nestedness,mean_abs_delta_loss,3,-0.5668980565976088,-0.5,0.6846045438574735,0.07232382877793894
2-4,spearman,up_delta_loss,3,0.7588006712485933,0.5,0.7298152446746826,0.008410199294014578
2-4,spearman,down_delta_loss,3,-0.9782931510458036,-1.0,0.7298152446746826,0.13623745826186331
2-4,spearman,mean_abs_delta_loss,3,-0.7482084463756025,-0.5,0.7298152446746826,0.07232382877793894
2-4,top1_agreement,up_delta_loss,3,-0.9998948270189789,-1.0,0.4521393952546296,0.008410199294014578
2-4,top1_agreement,down_delta_loss,3,0.6188162718991004,0.5,0.4521393952546296,0.13623745826186331
2-4,top1_agreement,mean_abs_delta_loss,3,0.14996662698440194,-0.5,0.4521393952546296,0.07232382877793894
2-4,top_pair_overlap,up_delta_loss,3,0.4874248649971072,0.5,0.13791423001949318,0.008410199294014578
2-4,top_pair_overlap,down_delta_loss,3,0.3976247898911237,0.5,0.13791423001949318,0.13623745826186331
2-4,top_pair_overlap,mean_abs_delta_loss,3,0.7989980311657681,1.0,0.13791423001949318,0.07232382877793894
2-5,coactivation_cosine,up_delta_loss,3,0.30992426684458135,0.5,0.9277249063378131,0.044857715803479394
2-5,coactivation_cosine,down_delta_loss,3,-0.9814956790372548,-1.0,0.9277249063378131,0.17198354037350447
2-5,coactivation_cosine,mean_abs_delta_loss,3,-0.9990942846755831,-1.0,0.9277249063378131,0.10842062808849194
2-5,nestedness,up_delta_loss,3,-0.95197210047478,-1.0,0.7393811745618386,0.044857715803479394
2-5,nestedness,down_delta_loss,3,0.19534070517355182,0.5,0.7393811745618386,0.17198354037350447
2-5,nestedness,mean_abs_delta_loss,3,-0.03862386698390728,0.5,0.7393811745618386,0.10842062808849194
2-5,spearman,up_delta_loss,3,0.6535131419059639,0.5,0.7231301466623942,0.044857715803479394
2-5,spearman,down_delta_loss,3,-0.9791770587845138,-1.0,0.7231301466623942,0.17198354037350447
2-5,spearman,mean_abs_delta_loss,3,-0.9048933116887076,-1.0,0.7231301466623942,0.10842062808849194
2-5,top1_agreement,up_delta_loss,3,-0.9955914448082912,-1.0,0.4412279885912698,0.044857715803479394
2-5,top1_agreement,down_delta_loss,3,0.40214054868606947,0.5,0.4412279885912698,0.17198354037350447
2-5,top1_agreement,mean_abs_delta_loss,3,0.17766703193262498,0.5,0.4412279885912698,0.10842062808849194
2-5,top_pair_overlap,up_delta_loss,3,-0.248065738384955,0.0,0.09161793372319688,0.044857715803479394
2-5,top_pair_overlap,down_delta_loss,3,0.9671303031652055,0.8660254037844387,0.09161793372319688,0.17198354037350447
2-5,top_pair_overlap,mean_abs_delta_loss,3,0.9997609444799075,0.8660254037844387,0.09161793372319688,0.10842062808849194
2-6,coactivation_cosine,up_delta_loss,3,-0.7499804201675833,-1.0,0.9197539971452331,0.09489861241093389
2-6,coactivation_cosine,down_delta_loss,3,0.9951241457247039,1.0,0.9197539971452331,0.25111601245466364
2-6,coactivation_cosine,mean_abs_delta_loss,3,0.9780574500786764,0.5,0.9197539971452331,0.17300731243279877
2-6,nestedness,up_delta_loss,3,-0.9862269467794353,-1.0,0.7700137183779763,0.09489861241093389
2-6,nestedness,down_delta_loss,3,0.5505978772258335,1.0,0.7700137183779763,0.25111601245466364
2-6,nestedness,mean_abs_delta_loss,3,0.4546672010208702,0.5,0.7700137183779763,0.17300731243279877
2-6,spearman,up_delta_loss,3,-0.48723574640746375,-0.5,0.7120568553606669,0.09489861241093389
2-6,spearman,down_delta_loss,3,0.9712618541620057,0.5,0.7120568553606669,0.25111601245466364
2-6,spearman,mean_abs_delta_loss,3,0.9916603529994393,1.0,0.7120568553606669,0.17300731243279877
2-6,top1_agreement,up_delta_loss,3,-0.9551857579334477,-1.0,0.42306082589285715,0.09489861241093389
2-6,top1_agreement,down_delta_loss,3,0.8672994047769383,1.0,0.42306082589285715,0.25111601245466364
2-6,top1_agreement,mean_abs_delta_loss,3,0.8067726385729982,0.5,0.42306082589285715,0.17300731243279877
2-6,top_pair_overlap,up_delta_loss,3,0.9817898623233636,0.8660254037844387,0.07212475633528265,0.09489861241093389
2-6,top_pair_overlap,down_delta_loss,3,-0.529583771979146,-0.8660254037844387,0.07212475633528265,0.25111601245466364
2-6,top_pair_overlap,mean_abs_delta_loss,3,-0.43228752687138083,0.0,0.07212475633528265,0.17300731243279877
2-7,coactivation_cosine,up_delta_loss,3,-0.9906510812815087,-1.0,0.9184897133167752,0.1485104901450021
2-7,coactivation_cosine,down_delta_loss,3,-0.05248355234893356,0.5,0.9184897133167752,0.3006895840483368
2-7,coactivation_cosine,mean_abs_delta_loss,3,-0.11850446114891089,0.5,0.9184897133167752,0.22460003709666942
2-7,nestedness,up_delta_loss,3,-0.056793498833004906,0.5,0.8075635799024471,0.1485104901450021
2-7,nestedness,down_delta_loss,3,-0.9900530113007687,-1.0,0.8075635799024471,0.3006895840483368
2-7,nestedness,mean_abs_delta_loss,3,-0.9971972584811768,-1.0,0.8075635799024471,0.22460003709666942
2-7,spearman,up_delta_loss,3,-0.7853292233230085,-0.5,0.7093846599260966,0.1485104901450021
2-7,spearman,down_delta_loss,3,-0.5507224038730659,-0.5,0.7093846599260966,0.3006895840483368
2-7,spearman,mean_abs_delta_loss,3,-0.6047925775122192,-0.5,0.7093846599260966,0.22460003709666942
2-7,top1_agreement,up_delta_loss,3,0.5564153690432906,0.5,0.41913390790343913,0.1485104901450021
2-7,top1_agreement,down_delta_loss,3,-0.8748228592587479,-1.0,0.41913390790343913,0.3006895840483368
2-7,top1_agreement,mean_abs_delta_loss,3,-0.8408188330579094,-1.0,0.41913390790343913,0.22460003709666942
2-7,top_pair_overlap,up_delta_loss,3,0.9530666736052866,0.8660254037844387,0.09161793372319688,0.1485104901450021
2-7,top_pair_overlap,down_delta_loss,3,0.22139880867171974,0.0,0.09161793372319688,0.3006895840483368
2-7,top_pair_overlap,mean_abs_delta_loss,3,0.28549660633270424,0.0,0.09161793372319688,0.22460003709666942
2-8,coactivation_cosine,up_delta_loss,3,-0.943289895690135,-0.5,0.919335794647076,0.20572551091512045
2-8,coactivation_cosine,down_delta_loss,3,0.29337654338155333,0.5,0.919335794647076,0.33819746308856535
2-8,coactivation_cosine,mean_abs_delta_loss,3,0.12763468553282054,0.5,0.919335794647076,0.2719614870018429
2-8,nestedness,up_delta_loss,3,-0.05303729922575819,-0.5,0.8326939174107143,0.20572551091512045
2-8,nestedness,down_delta_loss,3,-0.9999227771578827,-1.0,0.8326939174107143,0.33819746308856535
2-8,nestedness,mean_abs_delta_loss,3,-0.9876467299946012,-1.0,0.8326939174107143,0.2719614870018429
