seed,host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss
0,1,1,all_layers,-1,0.9527201879592169,0.9527201879592169,0.0
0,1,1,single_layer,0,0.9527201879592169,0.9527201879592169,0.0
0,1,1,single_layer,1,0.9527201879592169,0.9527201879592169,0.0
0,1,1,single_layer,2,0.9527201879592169,0.9527201879592169,0.0
0,1,1,single_layer,3,0.9527201879592169,0.9527201879592169,0.0
0,1,1,single_layer,4,0.9527201879592169,0.9527201879592169,0.0
0,1,1,single_layer,5,0.9527201879592169,0.9527201879592169,0.0
0,1,1,single_layer,6,0.9527201879592169,0.9527201879592169,0.0
0,1,1,single_layer,7,0.9527201879592169,0.9527201879592169,0.0
0,1,2,all_layers,-1,1.4835548400878906,0.9527201879592169,0.5308346521286738
0,1,2,single_layer,0,1.3051919483003163,0.9527201879592169,0.3524717603410994
0,1,2,single_layer,1,1.054565157209124,0.9527201879592169,0.10184496924990705
0,1,2,single_layer,2,1.0066852569580078,0.9527201879592169,0.053965068998790944
0,1,2,single_layer,3,0.9776697612944103,0.9527201879592169,0.02494957333519343
0,1,2,single_layer,4,0.9660906110491071,0.9527201879592169,0.013370423089890227
0,1,2,single_layer,5,0.9946323576427641,0.9527201879592169,0.04191216968354727
0,1,2,single_layer,6,0.9518478030250186,0.9527201879592169,-0.0008723849341982781
0,1,2,single_layer,7,0.9728923979259673,0.9527201879592169,0.0201722099667504
0,1,3,all_layers,-1,1.470071520124163,0.9527201879592169,0.5173513321649461
0,1,3,single_layer,0,1.2447873978387742,0.9527201879592169,0.29206720987955737
0,1,3,single_layer,1,1.0513879685174852,0.9527201879592169,0.0986677805582683
0,1,3,single_layer,2,1.0060050601050967,0.9527201879592169,0.05328487214587985
0,1,3,single_layer,3,0.9621445792061942,0.9527201879592169,0.00942439124697736
0,1,3,single_layer,4,0.9713883172898066,0.9527201879592169,0.0186681293305897
0,1,3,single_layer,5,0.9824544815790086,0.9527201879592169,0.02973429361979174
0,1,3,single_layer,6,0.965209234328497,0.9527201879592169,0.012489046369280166
0,1,3,single_layer,7,0.9823145185198102,0.9527201879592169,0.02959433056059335
0,1,4,all_layers,-1,1.4780867440359933,0.9527201879592169,0.5253665560767764
0,1,4,single_layer,0,1.2993837084089006,0.9527201879592169,0.34666352044968374
0,1,4,single_layer,1,1.0720670790899367,0.9527201879592169,0.11934689113071983
0,1,4,single_layer,2,0.9874641781761533,0.9527201879592169,0.034743990216936416
0,1,4,single_layer,3,0.9695925031389508,0.9527201879592169,0.016872315179733977
0,1,4,single_layer,4,0.9759464263916016,0.9527201879592169,0.023226238432384694
0,1,4,single_layer,5,0.9853966122581845,0.9527201879592169,0.032676424298967666
0,1,4,single_layer,6,0.9717358180454799,0.9527201879592169,0.019015630086263058
0,1,4,single_layer,7,0.9720851353236607,0.9527201879592169,0.01936494736444383
0,1,5,all_layers,-1,1.436214810325986,0.9527201879592169,0.4834946223667691
0,1,5,single_layer,0,1.322293962751116,0.9527201879592169,0.36957377479189923
0,1,5,single_layer,1,1.0467049734933036,0.9527201879592169,0.09398478553408673
0,1,5,single_layer,2,1.0291795276460194,0.9527201879592169,0.07645933968680252
0,1,5,single_layer,3,0.9591734749930245,0.9527201879592169,0.006453287033807653
0,1,5,single_layer,4,0.9964703151157924,0.9527201879592169,0.04375012715657556
0,1,5,single_layer,5,0.985138938540504,0.9527201879592169,0.03241875058128718
0,1,5,single_layer,6,0.9652337573823475,0.9527201879592169,0.012513569423130644
0,1,5,single_layer,7,0.9874614533923921,0.9527201879592169,0.03474126543317524
0,1,6,all_layers,-1,1.5000821976434617,0.9527201879592169,0.5473620096842449
0,1,6,single_layer,0,1.3785339537121,0.9527201879592169,0.4258137657528831
0,1,6,single_layer,1,1.0398441496349515,0.9527201879592169,0.08712396167573466
0,1,6,single_layer,2,0.9967667715890067,0.9527201879592169,0.04404658362978986
0,1,6,single_layer,3,0.979996817452567,0.9527201879592169,0.02727662949335008
0,1,6,single_layer,4,0.9656305767240978,0.9527201879592169,0.012910388764880931
0,1,6,single_layer,5,1.0036627451578777,0.9527201879592169,0.05094255719866081
0,1,6,single_layer,6,0.959135237194243,0.9527201879592169,0.006415049235026116
0,1,6,single_layer,7,0.980515616280692,0.9527201879592169,0.02779542832147508
0,1,7,all_layers,-1,1.4206623804001581,0.9527201879592169,0.46794219244094126
0,1,7,single_layer,0,1.322835468110584,0.9527201879592169,0.3701152801513672
0,1,7,single_layer,1,1.022170657203311,0.9527201879592169,0.06945046924409404
0,1,7,single_layer,2,1.0128662472679502,0.9527201879592169,0.06014605930873329
0,1,7,single_layer,3,0.984015873500279,0.9527201879592169,0.0312956855410621
0,1,7,single_layer,4,0.9820396786644345,0.9527201879592169,0.029319490705217666
0,1,7,single_layer,5,0.9832081567673456,0.9527201879592169,0.030487968808128763
0,1,7,single_layer,6,0.9663112277076358,0.9527201879592169,0.01359103974841891
0,1,7,single_layer,7,0.9762365250360399,0.9527201879592169,0.02351633707682299
0,1,8,all_layers,-1,1.426811036609468,0.9527201879592169,0.4740908486502511
0,1,8,single_layer,0,1.3717298961821056,0.9527201879592169,0.41900970822288874
