pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_seeds
3-8,4,0.32148409930486527,0.058607792097424706,0.2628763147762843,0.18231135122518363,0.817688672328221,0.0368085272964977,0.24107704465351407,0.012990602011245396,5.774569535066211e-14,3
3-8,5,0.40827970845358713,0.0697470453996507,0.3385326701497275,0.1704562210430599,0.8295437964027478,0.04247059744028819,0.3112562232547336,0.016938546761160803,0.0,3
3-8,6,0.46899647561330643,0.09291543468596443,0.3760810428195529,0.19795312154503142,0.8020468838945264,0.06136122393229651,0.3445268301736741,0.023784820108659687,2.3098278140264843e-13,3
3-8,7,0.5053311245782034,0.12976474657891288,0.37556639361003086,0.2560247898901265,0.7439752411162219,0.09475430988130117,0.3405559573854719,0.029805890269695767,2.3098278140264843e-13,3
4-5,0,0.016869084643466134,0.013659401663712092,0.0032096831054086723,0.8088924716273587,0.1911075355516203,0.01315896295838886,0.0027092445700887652,4.0876101203528894e-05,0.0,3
4-5,1,0.04478338502702259,0.015100073542386766,0.029683313081188805,0.3367794321515251,0.6632206037092958,0.012437772419717578,0.027021011781124843,0.00047387084960641836,0.0,3
4-5,2,0.0939860651417384,0.018682918614811365,0.07530315007482256,0.19915283327663813,0.8008472046502458,0.013098247585788605,0.06971847561616747,0.001560904041287445,0.0,3
4-5,3,0.1682014361260429,0.025841941554394978,0.14235949610906937,0.1537589665122231,0.8462410425754819,0.01571969652459735,0.13223725178885082,0.0033290402756796945,0.0,3
4-5,4,0.241213633900597,0.03529600136809879,0.20591764033786833,0.14647402716547012,0.8535260055684996,0.020460223217332173,0.1910818573974428,0.005689288208645488,0.0,3
4-5,5,0.2923632245215159,0.035281705714407426,0.25708152472026763,0.12048962144756448,0.879510398895956,0.020507518852513933,0.24230733844969007,0.007255736708877578,0.0,3
4-5,6,0.34599878958293373,0.04407972594102224,0.3019190686089652,0.12755832875561743,0.872441686110733,0.026054057455252088,0.28389339787619455,0.009239205647082556,0.0,3
