seed,pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_values
0,1-2,0,0.11079841994103931,0.09771700416292463,0.013081419503404981,0.8819349970416918,0.11806503658054128,0.09643274687585376,0.011797163280702773,0.004520111850329808,1.7323708605198632e-13,172032
0,1-2,1,0.19398723045984903,0.0916427629334586,0.10234447462218148,0.47241647151834865,0.5275835650603016,0.08492392940180642,0.09562563896179199,0.023219166767029537,1.7323708605198632e-13,172032
0,1-2,2,0.26861483993984403,0.09968591020220802,0.1689289283184778,0.37111095658204346,0.6288890381347108,0.08892075788407099,0.15816378309613183,0.04453931961740766,1.3858966884158906e-12,172032
0,1-2,3,0.36397771040598553,0.13356397265479678,0.23041376045772008,0.3669564614432509,0.6330436009411498,0.11285804283051264,0.20970782211848668,0.06865532909120832,1.7323708605198632e-13,172032
0,1-2,4,0.4258243867329189,0.15293524946485246,0.27288914862133207,0.35915098859937983,0.6408490380624695,0.12537780829838344,0.24533170745486305,0.08542203690324511,1.5591337744678769e-12,172032
0,1-2,5,0.458044932002113,0.16147322597957792,0.29657172589075,0.35252704417834935,0.6474729991977771,0.13669230540593466,0.2717908053171067,0.09156989412648338,3.4647417210397264e-13,172032
0,1-2,6,0.44304390180678593,0.14975678353082567,0.29328714382080806,0.3380179321283954,0.6619821255292039,0.12883940906751723,0.27236975942339214,0.08271438451040358,1.7323708605198632e-12,172032
0,1-2,7,0.45178877172015963,0.16668746443021865,0.285101314385732,0.36894999359007036,0.6310500221159221,0.1435025135676066,0.26191636494227816,0.07200092857792265,1.2126596023639042e-12,172032
0,1-3,0,0.11104246406328111,0.09699271122614543,0.01404975549805732,0.8734740537716367,0.1265259701914631,0.09580072902497791,0.012857775248232343,0.004872315297169345,5.19711258155959e-13,172032
0,1-3,1,0.19012920345578874,0.09026815068154108,0.09986105987003871,0.474772675847934,0.5252273614729558,0.08369548902625129,0.09328839892432803,0.023616779063429152,6.929483442079453e-13,172032
0,1-3,2,0.2691390627906436,0.10037679615474883,0.16876228082747685,0.3729551374444273,0.6270449152851243,0.08919711410999298,0.15758259523482548,0.04516955819867906,6.929483442079453e-13,172032
0,1-3,3,0.39121683438618976,0.14645580450693765,0.24476103271756852,0.37435966869044235,0.6256403385646555,0.12052658200263977,0.21883180879411243,0.07709022646858579,1.039422516311918e-12,172032
0,1-3,4,0.4624755723135812,0.16347769044694446,0.2989978790283203,0.35348394646906567,0.6465160473937097,0.1291759383110773,0.2646961212158203,0.09170636534690857,2.4253192047278085e-12,172032
0,1-3,5,0.5267912262961978,0.18194526433944702,0.34484597898664926,0.3453840065231934,0.6546160258044113,0.1452942987283071,0.30819501763298396,0.10291253810837156,6.929483442079453e-13,172032
0,1-3,6,0.5071519783564976,0.17251325505120413,0.334638740335192,0.3401608638307186,0.659839169748759,0.14207031755220323,0.3041958014170329,0.08914443850517273,1.9056079465718497e-12,172032
0,1-3,7,0.49291934853508357,0.18118181966599964,0.3117375203541347,0.36756889378446467,0.6324310889410071,0.15227389477548145,0.2828295997210911,0.07423539814494905,6.929483442079453e-13,172032
0,1-4,0,0.10566958217393785,0.09272155165672302,0.012948030339820045,0.8774668144717213,0.12253318384951013,0.09199439060120355,0.012220866091194608,0.004812046042865231,5.19711258155959e-13,172032
0,1-4,1,0.1826760797273545,0.08684765866824559,0.09582842247826713,0.4754188878908854,0.5245811198778286,0.08000406622886658,0.08898482223351796,0.02148770469994772,1.7323708605198632e-13,172032
0,1-4,2,0.25662489732106525,0.09572553918475196,0.16089936381294614,0.3730173501637647,0.6269826719565865,0.08613466648828416,0.1513084868590037,0.04148326317469279,3.4647417210397264e-13,172032
0,1-4,3,0.3775974057969593,0.14579869310061136,0.2317987112771897,0.38612207303937324,0.6138779232022371,0.12045611795924958,0.20645612478256226,0.07160800553503491,6.929483442079453e-13,172032
0,1-4,4,0.46318167731875465,0.16731896712666466,0.2958627258028303,0.36123831170359155,0.6387617219996853,0.13086527869814918,0.25940903311684016,0.08859434227148692,1.2126596023639042e-12,172032
0,1-4,5,0.5030210245223272,0.1774858207929702,0.32553522075925556,0.3528397664123724,0.6471602674428696,0.14468099957420713,0.2927304080554417,0.10267690533683413,6.929483442079453e-13,172032
0,1-4,6,0.5095483121417818,0.17373103754861013,0.3358172745931716,0.34095106079022686,0.6590489392097731,0.1440054831050691,0.3060917258262634,0.09022720300015949,2.2520821186758224e-12,172032
0,1-4,7,0.5263216325214931,0.1932923566727411,0.33302927301043556,0.36725140052997485,0.6327485940772838,0.1591140173730396,0.29885093371073407,0.07808099261351995,1.5591337744678769e-12,172032
0,1-5,0,0.10342464986301604,0.09087268653370086,0.01255196634502638,0.8786366369531826,0.12136339220535161,0.09068002445357186,0.012359302313554855,0.0049158188381365365,1.7323708605198632e-13,172032
0,1-5,1,0.17889621144249326,0.08576390147209167,0.093132312808718,0.4794059124033532,0.5205941034623625,0.08158117816561744,0.08894959092140198,0.02284172744978042,6.929483442079453e-13,172032
0,1-5,2,0.26123961096718196,0.10047720727466401,0.16076240794999258,0.38461704525844814,0.6153829710387536,0.09001267311118898,0.15029787307693845,0.04244159623270943,8.661854302599316e-13,172032
0,1-5,3,0.37526161330086844,0.1470973775500343,0.2281642442657834,0.39198620998332173,0.6080138127073799,0.12249372260911125,0.20356057655243648,0.07363525671618325,3.4647417210397264e-13,172032
0,1-5,4,0.4827525331860497,0.1724176179795038,0.31033493223644437,0.35715528376741873,0.6428447515092444,0.1347716720331283,0.272688973517645,0.09177616380509876,1.039422516311918e-12,172032
0,1-5,5,0.501979527019319,0.18449046782084874,0.31748907339005245,0.3675258808189373,0.6324741474522997,0.1533054014046987,0.2863040140696934,0.10489473598343986,6.929483442079453e-13,172032
0,1-5,6,0.5503694897606259,0.1947866366023109,0.3555828787031628,0.353919757955751,0.6460802884582458,0.15742830577350797,0.3182245379402524,0.0992754130136399,1.2126596023639042e-12,172032
0,1-5,7,0.5494923818679083,0.21076204379399618,0.3387303551038106,0.38355771753840434,0.6164423134536514,0.17341320571445284,0.30138151134763447,0.08654710224696568,1.039422516311918e-12,172032
0,1-6,0,0.10392556871686663,0.09180765634491331,0.012117915387664522,0.8833981615730466,0.11660186744494419,0.09168597772007897,0.011996238536777951,0.004935574008240586,6.929483442079453e-13,172032
0,1-6,1,0.1733483714716775,0.08290421820822216,0.09044415752092998,0.47825207415788995,0.5217479504023329,0.07882543333939143,0.08636536910420373,0.022391562660535175,6.929483442079453e-13,172032
0,1-6,2,0.25038894301369075,0.09520320665268671,0.15518574061847867,0.38022128895476504,0.6197787280486801,0.08700615948154813,0.14698869841439383,0.04110425959030787,5.19711258155959e-13,172032
0,1-6,3,0.37562202839624315,0.14610216447285243,0.22951987243833996,0.3889605865147224,0.6110394361542071,0.12146911308878944,0.20488682247343518,0.07664922447431655,5.19711258155959e-13,172032
0,1-6,4,0.47409753572373164,0.17741135046595619,0.2966862037068322,0.3742085480261559,0.6257914908878973,0.13883982527823674,0.2581146756807963,0.09194647272427876,1.3858966884158906e-12,172032
0,1-6,5,0.5227740094775245,0.19463075342632474,0.3281432702427819,0.37230380603818536,0.6276962211085011,0.1565105276448386,0.29002305155708674,0.10303410461970738,1.7323708605198632e-13,172032
