pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-5,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-6,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-6,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-6,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-6,nestedness,up_delta_loss,3,0.9690456473075421,1.0,0.5425928509424603,0.072245053355656
1-6,nestedness,down_delta_loss,3,0.9825945706933619,1.0,0.5425928509424603,1.3412754344088693
1-6,nestedness,mean_abs_delta_loss,3,0.9983439204135173,1.0,0.5425928509424603,0.7067602438822626
1-6,spearman,up_delta_loss,3,0.9998812258800641,1.0,0.44956974188486737,0.072245053355656
1-6,spearman,down_delta_loss,3,0.8996967316208131,1.0,0.44956974188486737,1.3412754344088693
1-6,spearman,mean_abs_delta_loss,3,0.9484672701856156,1.0,0.44956974188486737,0.7067602438822626
1-6,top1_agreement,up_delta_loss,3,0.8800914595757383,0.5,0.16546275628306875,0.072245053355656
1-6,top1_agreement,down_delta_loss,3,0.9982933229734595,0.5,0.16546275628306875,1.3412754344088693
1-6,top1_agreement,mean_abs_delta_loss,3,0.9824320395850233,0.5,0.16546275628306875,0.7067602438822626
1-6,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-6,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-6,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-7,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-7,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-7,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-7,nestedness,up_delta_loss,3,0.7599628737266323,0.5,0.5908228959986773,0.09859879527773176
1-7,nestedness,down_delta_loss,3,-0.7489947402868684,-1.0,0.5908228959986773,1.4512672201981618
1-7,nestedness,mean_abs_delta_loss,3,-0.645275398663999,-1.0,0.5908228959986773,0.7749330077379469
1-7,spearman,up_delta_loss,3,0.8729086701292427,1.0,0.4505018889904022,0.09859879527773176
1-7,spearman,down_delta_loss,3,-0.6041245805700157,-0.5,0.4505018889904022,1.4512672201981618
1-7,spearman,mean_abs_delta_loss,3,-0.48250027475874124,-0.5,0.4505018889904022,0.7749330077379469
1-7,top1_agreement,up_delta_loss,3,0.6114704880086506,0.5,0.16441773106812171,0.09859879527773176
1-7,top1_agreement,down_delta_loss,3,-0.8683580744543317,-1.0,0.16441773106812171,1.4512672201981618
1-7,top1_agreement,mean_abs_delta_loss,3,-0.7874876791124604,-1.0,0.16441773106812171,0.7749330077379469
1-7,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-7,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-7,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-8,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-8,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-8,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-8,nestedness,up_delta_loss,3,0.7786050562010945,0.5,0.6357202277612434,0.12600974241892499
1-8,nestedness,down_delta_loss,3,-0.8231709185530753,-1.0,0.6357202277612434,1.6318456890091066
1-8,nestedness,mean_abs_delta_loss,3,-0.6469407512991701,-1.0,0.6357202277612434,0.8789277157140157
1-8,spearman,up_delta_loss,3,-0.06255493157158232,0.5,0.45458558201789856,0.12600974241892499
1-8,spearman,down_delta_loss,3,-0.9389562586498442,-1.0,0.45458558201789856,1.6318456890091066
1-8,spearman,mean_abs_delta_loss,3,-0.9961476253113136,-1.0,0.45458558201789856,0.8789277157140157
1-8,top1_agreement,up_delta_loss,3,0.054584471554208584,0.5,0.1637292286706349,0.12600974241892499
1-8,top1_agreement,down_delta_loss,3,-0.9727455186879668,-1.0,0.1637292286706349,1.6318456890091066
1-8,top1_agreement,mean_abs_delta_loss,3,-0.9995677773678886,-1.0,0.1637292286706349,0.8789277157140157
1-8,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-8,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-8,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
2-3,coactivation_cosine,up_delta_loss,3,-0.7582710197579043,-0.5,0.9339135549804499,-0.012774394145087556
2-3,coactivation_cosine,down_delta_loss,3,0.3931006220260628,0.5,0.9339135549804499,0.05038089033157108
2-3,coactivation_cosine,mean_abs_delta_loss,3,0.634439020832721,0.5,0.9339135549804499,0.03157764223832932
2-3,nestedness,up_delta_loss,3,-0.7534613035227151,-0.5,0.5795220269097222,-0.012774394145087556
2-3,nestedness,down_delta_loss,3,-0.8539989537967455,-1.0,0.5795220269097222,0.05038089033157108
2-3,nestedness,mean_abs_delta_loss,3,-0.6745407379434039,-1.0,0.5795220269097222,0.03157764223832932
2-3,spearman,up_delta_loss,3,0.13577560338674136,-0.5,0.6918721199035645,-0.012774394145087556
2-3,spearman,down_delta_loss,3,-0.9037548921845394,-1.0,0.6918721199035645,0.05038089033157108
2-3,spearman,mean_abs_delta_loss,3,-0.9873777013345063,-1.0,0.6918721199035645,0.03157764223832932
2-3,top1_agreement,up_delta_loss,3,0.8933004243338819,0.5,0.4405989066633598,-0.012774394145087556
2-3,top1_agreement,down_delta_loss,3,-0.15934062702891283,-0.5,0.4405989066633598,0.05038089033157108
2-3,top1_agreement,mean_abs_delta_loss,3,-0.42892644269451174,-0.5,0.4405989066633598,0.03157764223832932
2-3,top_pair_overlap,up_delta_loss,3,0.15963258635245067,0.0,0.15468409586056645,-0.012774394145087556
2-3,top_pair_overlap,down_delta_loss,3,-0.8931674597778829,-0.8660254037844387,0.15468409586056645,0.05038089033157108
2-3,top_pair_overlap,mean_abs_delta_loss,3,-0.9832702671018824,-0.8660254037844387,0.15468409586056645,0.03157764223832932
2-4,coactivation_cosine,up_delta_loss,3,0.9999320859096399,1.0,0.9290534518213613,-0.004808779983293432
2-4,coactivation_cosine,down_delta_loss,3,0.6017994279747237,0.5,0.9290534518213613,0.13623745006228252
2-4,coactivation_cosine,mean_abs_delta_loss,3,0.3935041406404167,0.5,0.9290534518213613,0.07052311502278798
2-4,nestedness,up_delta_loss,3,0.2834137363057734,0.5,0.6476366154100529,-0.004808779983293432
2-4,nestedness,down_delta_loss,3,0.9404836095241995,1.0,0.6476366154100529,0.13623745006228252
2-4,nestedness,mean_abs_delta_loss,3,0.9944470235217349,1.0,0.6476366154100529,0.07052311502278798
2-4,spearman,up_delta_loss,3,0.28600284887811395,0.5,0.6853595574696859,-0.004808779983293432
2-4,spearman,down_delta_loss,3,-0.6025127831074882,-0.5,0.6853595574696859,0.13623745006228252
2-4,spearman,mean_abs_delta_loss,3,-0.775784834742219,-0.5,0.6853595574696859,0.07052311502278798
2-4,top1_agreement,up_delta_loss,3,0.04214238733089617,0.5,0.4207343853339947,-0.004808779983293432
2-4,top1_agreement,down_delta_loss,3,0.8298581999844052,1.0,0.4207343853339947,0.13623745006228252
