train_k,matched_loss_mean,matched_loss_std,matched_loss_min,matched_loss_max,n_seeds
1,0.32036,0.0185,0.30243,0.35493,8
2,0.35028,0.02288,0.32154,0.38535,8
3,0.37788,0.02812,0.34868,0.43402,8
4,0.3959,0.02159,0.36902,0.42441,8
5,0.42223,0.03749,0.38105,0.48939,8
6,0.43728,0.01997,0.4126,0.47399,8
7,0.46639,0.02744,0.43578,0.51468,8
8,0.481,0.03961,0.43275,0.54561,8
