comparison,k,seed_i,seed_j,top1_agreement,nestedness,spearman,hco
within_k,4,3,4,0.037594,0.125817,0.003364,0.00252
within_k,4,3,5,0.041512,0.126956,0.001132,0.007696
within_k,4,3,6,0.029502,0.124477,-0.010703,0.00137
within_k,4,3,7,0.027797,0.123347,-0.001997,-0.003467
within_k,4,4,5,0.030494,0.123659,0.00672,-0.003293
within_k,4,4,6,0.036877,0.128371,0.003769,0.013102
within_k,4,4,7,0.029491,0.125556,-0.000767,0.002808
within_k,4,5,6,0.028642,0.119496,-0.00391,-0.016284
within_k,4,5,7,0.028568,0.12259,-0.009812,-0.007335
within_k,4,6,7,0.027103,0.118267,-0.00453,-0.023014
within_k,5,0,1,0.026518,0.158752,0.008766,0.010038
within_k,5,0,2,0.025344,0.159311,0.008796,0.009739
within_k,5,0,3,0.031738,0.158198,0.000248,0.005653
within_k,5,0,4,0.035862,0.160807,0.008633,0.015098
within_k,5,0,5,0.025453,0.150201,-0.006245,-0.022675
within_k,5,0,6,0.031897,0.153025,-0.001631,-0.012604
within_k,5,0,7,0.034106,0.158219,0.009766,0.006305
within_k,5,1,2,0.035517,0.161816,0.011015,0.018919
within_k,5,1,3,0.03957,0.16306,0.008725,0.022939
within_k,5,1,4,0.041636,0.156941,-0.007528,0.002338
within_k,5,1,5,0.034672,0.166909,0.022788,0.036367
within_k,5,1,6,0.035772,0.160328,0.002195,0.016049
within_k,5,1,7,0.029405,0.155517,0.001658,-0.003587
within_k,5,2,3,0.035052,0.159476,0.009547,0.013226
within_k,5,2,4,0.032033,0.159337,0.006641,0.011209
within_k,5,2,5,0.031126,0.153339,-0.015117,-0.010256
within_k,5,2,6,0.026216,0.148093,-0.012803,-0.027656
within_k,5,2,7,0.02975,0.153192,-0.006512,-0.010494
within_k,5,3,4,0.034629,0.154124,-0.003504,-0.007044
within_k,5,3,5,0.041151,0.15411,-0.00758,-0.005924
within_k,5,3,6,0.03111,0.153651,-0.007847,-0.007229
within_k,5,3,7,0.027065,0.156635,0.007238,0.002746
within_k,5,4,5,0.031506,0.160593,0.004003,0.01676
within_k,5,4,6,0.036978,0.159792,0.007404,0.010949
within_k,5,4,7,0.029312,0.154664,0.003539,-0.003351
within_k,5,5,6,0.027607,0.148234,-0.008084,-0.026924
within_k,5,5,7,0.030366,0.150354,-0.011981,-0.021341
within_k,5,6,7,0.025363,0.149475,-0.005715,-0.024192
within_k,6,0,1,0.028851,0.190523,0.007993,0.011808
within_k,6,0,2,0.031297,0.190384,0.010578,0.010668
within_k,6,0,3,0.030804,0.191404,0.004205,0.013892
within_k,6,0,4,0.03826,0.187966,0.001698,5.1e-05
