seed,pair,layer_id,metric_name,value,step_a,step_b
2,1-2,2,spearman,0.4252586364746094,6000,3000
2,1-2,3,top1_agreement,0.2507440476190476,6000,3000
2,1-2,3,nestedness,0.42931547619047616,6000,3000
2,1-2,3,spearman,0.3065033257007599,6000,3000
2,1-4,0,top1_agreement,0.4523809523809524,6000,1500
2,1-4,0,nestedness,0.890625,6000,1500
2,1-4,0,spearman,0.6185515522956848,6000,1500
2,1-4,1,top1_agreement,0.40401785714285715,6000,1500
2,1-4,1,nestedness,0.8523065476190477,6000,1500
2,1-4,1,spearman,0.5587886571884155,6000,1500
2,1-4,2,top1_agreement,0.3288690476190476,6000,1500
2,1-4,2,nestedness,0.7615327380952381,6000,1500
2,1-4,2,spearman,0.3855229318141937,6000,1500
2,1-4,3,top1_agreement,0.24293154761904762,6000,1500
2,1-4,3,nestedness,0.6629464285714286,6000,1500
2,1-4,3,spearman,0.2553766369819641,6000,1500
2,2-4,0,top1_agreement,0.7302827380952381,3000,1500
2,2-4,0,nestedness,0.9732142857142857,3000,1500
2,2-4,0,spearman,0.888702929019928,3000,1500
2,2-4,0,coactivation_cosine,0.960616680053037,3000,1500
2,2-4,0,top_pair_overlap,0.3333333333333333,3000,1500
2,2-4,1,top1_agreement,0.7254464285714286,3000,1500
2,2-4,1,nestedness,0.9471726190476191,3000,1500
2,2-4,1,spearman,0.8088240623474121,3000,1500
2,2-4,1,coactivation_cosine,0.9731375376111049,3000,1500
2,2-4,1,top_pair_overlap,0.42857142857142855,3000,1500
2,2-4,2,top1_agreement,0.5736607142857143,3000,1500
2,2-4,2,nestedness,0.9090401785714286,3000,1500
2,2-4,2,spearman,0.7126559019088745,3000,1500
2,2-4,2,coactivation_cosine,0.9737948233700118,3000,1500
2,2-4,2,top_pair_overlap,0.42857142857142855,3000,1500
2,2-4,3,top1_agreement,0.43005952380952384,3000,1500
2,2-4,3,nestedness,0.8117559523809523,3000,1500
2,2-4,3,spearman,0.5452097654342651,3000,1500
2,2-4,3,coactivation_cosine,0.9365773405510497,3000,1500
2,2-4,3,top_pair_overlap,0.42857142857142855,3000,1500
3,1-2,0,top1_agreement,0.3828125,6000,3000
3,1-2,0,nestedness,0.6465773809523809,6000,3000
3,1-2,0,spearman,0.6025279760360718,6000,3000
3,1-2,1,top1_agreement,0.3560267857142857,6000,3000
3,1-2,1,nestedness,0.5792410714285714,6000,3000
3,1-2,1,spearman,0.49800699949264526,6000,3000
3,1-2,2,top1_agreement,0.3601190476190476,6000,3000
3,1-2,2,nestedness,0.5755208333333334,6000,3000
3,1-2,2,spearman,0.4330002963542938,6000,3000
3,1-2,3,top1_agreement,0.23177083333333334,6000,3000
3,1-2,3,nestedness,0.4036458333333333,6000,3000
3,1-2,3,spearman,0.252852201461792,6000,3000
3,1-4,0,top1_agreement,0.4148065476190476,6000,1500
3,1-4,0,nestedness,0.8924851190476191,6000,1500
3,1-4,0,spearman,0.610145628452301,6000,1500
3,1-4,1,top1_agreement,0.35825892857142855,6000,1500
3,1-4,1,nestedness,0.8229166666666666,6000,1500
3,1-4,1,spearman,0.5172016620635986,6000,1500
3,1-4,2,top1_agreement,0.32663690476190477,6000,1500
3,1-4,2,nestedness,0.7697172619047619,6000,1500
3,1-4,2,spearman,0.3773118555545807,6000,1500
3,1-4,3,top1_agreement,0.21242559523809523,6000,1500
3,1-4,3,nestedness,0.6655505952380952,6000,1500
3,1-4,3,spearman,0.21934345364570618,6000,1500
3,2-4,0,top1_agreement,0.7090773809523809,3000,1500
3,2-4,0,nestedness,0.9754464285714286,3000,1500
3,2-4,0,spearman,0.8757617473602295,3000,1500
3,2-4,0,coactivation_cosine,0.975439779756116,3000,1500
3,2-4,0,top_pair_overlap,0.5384615384615384,3000,1500
3,2-4,1,top1_agreement,0.6484375,3000,1500
3,2-4,1,nestedness,0.9404761904761905,3000,1500
3,2-4,1,spearman,0.794775664806366,3000,1500
3,2-4,1,coactivation_cosine,0.9580479273057294,3000,1500
3,2-4,1,top_pair_overlap,0.5384615384615384,3000,1500
3,2-4,2,top1_agreement,0.5617559523809523,3000,1500
3,2-4,2,nestedness,0.88671875,3000,1500
3,2-4,2,spearman,0.6753560900688171,3000,1500
3,2-4,2,coactivation_cosine,0.943129986250689,3000,1500
3,2-4,2,top_pair_overlap,0.42857142857142855,3000,1500
3,2-4,3,top1_agreement,0.46316964285714285,3000,1500
3,2-4,3,nestedness,0.8353794642857143,3000,1500
3,2-4,3,spearman,0.5802950859069824,3000,1500
3,2-4,3,coactivation_cosine,0.9344440946718051,3000,1500
3,2-4,3,top_pair_overlap,0.42857142857142855,3000,1500
4,1-2,0,top1_agreement,0.4103422619047619,6000,3000
4,1-2,0,nestedness,0.6811755952380952,6000,3000
4,1-2,0,spearman,0.6446287035942078,6000,3000
4,1-2,1,top1_agreement,0.3880208333333333,6000,3000
