seed,train_k,layer_id,metric_name,same_compute,fixed_step,fixed_minus_same
0,1,0,expert_purity,0.18892609126984128,0.18492683531746032,-0.003999255952380959
0,1,0,mean_pairwise_task_js,0.013921134972988958,0.011788266771573389,-0.0021328682014155696
0,1,0,normalized_mutual_information,0.009167982634704239,0.007758707368224853,-0.001409275266479386
0,1,1,expert_purity,0.19518849206349206,0.20045882936507936,0.005270337301587297
0,1,1,mean_pairwise_task_js,0.01993158979588956,0.020009765005554278,7.817520966471939e-05
0,1,1,normalized_mutual_information,0.01307032780269976,0.013277312138030108,0.00020698433533034716
0,1,2,expert_purity,0.1963045634920635,0.19903273809523808,0.0027281746031745935
0,1,2,mean_pairwise_task_js,0.017321935835602834,0.020239233067596986,0.0029172972319941523
0,1,2,normalized_mutual_information,0.011483986914189783,0.013343159509394261,0.0018591725952044787
0,1,3,expert_purity,0.1954675099206349,0.19924975198412698,0.003782242063492064
0,1,3,mean_pairwise_task_js,0.017930085084451458,0.018917386598603925,0.0009873015141524666
0,1,3,normalized_mutual_information,0.011899643018446997,0.012561148047424054,0.0006615050289770566
0,1,4,expert_purity,0.20238095238095238,0.19810267857142858,-0.004278273809523808
0,1,4,mean_pairwise_task_js,0.02185104072028911,0.01936945607365368,-0.0024815846466354277
0,1,4,normalized_mutual_information,0.014418566115824946,0.012861286903428408,-0.0015572792123965378
0,1,5,expert_purity,0.1954675099206349,0.20262896825396826,0.007161458333333343
0,1,5,mean_pairwise_task_js,0.017939342681133744,0.022524235725036607,0.004584893043902864
0,1,5,normalized_mutual_information,0.011789400027632738,0.01488826868784048,0.003098868660207742
0,1,6,expert_purity,0.19549851190476192,0.21165054563492064,0.01615203373015872
0,1,6,mean_pairwise_task_js,0.016938852837754013,0.026035081713323513,0.0090962288755695
0,1,6,normalized_mutual_information,0.011213121311784978,0.017228912224536045,0.0060157909127510675
0,1,7,expert_purity,0.19782366071428573,0.2158048115079365,0.017981150793650785
0,1,7,mean_pairwise_task_js,0.021144551788194615,0.02980837628530918,0.008663824497114565
0,1,7,normalized_mutual_information,0.014012890620620604,0.02002086739939542,0.006007976778774817
0,2,0,expert_purity,0.18763950892857142,0.1850043402777778,-0.0026351686507936345
0,2,0,mean_pairwise_task_js,0.0126195340524157,0.010783729000050158,-0.0018358050523655418
0,2,0,normalized_mutual_information,0.008361474421836485,0.007185043758634714,-0.0011764306632017704
0,2,1,expert_purity,0.1999937996031746,0.19670758928571427,-0.0032862103174603197
0,2,1,mean_pairwise_task_js,0.017670006618639426,0.017511073131554117,-0.00015893348708530958
0,2,1,normalized_mutual_information,0.011908375972926568,0.011725881707485987,-0.00018249426544058103
0,2,2,expert_purity,0.23001922123015872,0.22254774305555555,-0.007471478174603169
0,2,2,mean_pairwise_task_js,0.03691074591199568,0.031074696824756075,-0.005836049087239607
0,2,2,normalized_mutual_information,0.024970057071078258,0.02110263564690085,-0.003867421424177408
0,2,3,expert_purity,0.2732359871031746,0.2697172619047619,-0.0035187251984126755
0,2,3,mean_pairwise_task_js,0.07902742859150207,0.06904152956733058,-0.00998589902417149
0,2,3,normalized_mutual_information,0.055207405407055085,0.047142301866464134,-0.008065103540590951
0,2,4,expert_purity,0.2864428323412698,0.30009920634920634,0.013656374007936511
0,2,4,mean_pairwise_task_js,0.0871038922148999,0.0955658919283429,0.008461999713442997
0,2,4,normalized_mutual_information,0.06221253156528686,0.06851242810252173,0.006299896537234867
0,2,5,expert_purity,0.29172867063492064,0.28824094742063494,-0.0034877232142856984
0,2,5,mean_pairwise_task_js,0.0869829486387148,0.09373010344051189,0.006747154801797092
0,2,5,normalized_mutual_information,0.06067315909816048,0.06400186188994343,0.0033287027917829545
0,2,6,expert_purity,0.26901971726190477,0.2729104662698413,0.0038907490079365115
0,2,6,mean_pairwise_task_js,0.07523147175713067,0.07642258848998769,0.0011911167328570171
0,2,6,normalized_mutual_information,0.051420380018839834,0.05313960673359763,0.0017192267147577989
0,2,7,expert_purity,0.23493303571428573,0.23955233134920634,0.004619295634920612
0,2,7,mean_pairwise_task_js,0.04632420920386306,0.04880617530389392,0.0024819661000308538
0,2,7,normalized_mutual_information,0.03169987738476076,0.033261131339973805,0.001561253955213046
0,3,0,expert_purity,0.17620494378306878,0.17427248677248677,-0.001932457010582006
0,3,0,mean_pairwise_task_js,0.007527076361253953,0.006793937294069678,-0.0007331390671842745
0,3,0,normalized_mutual_information,0.004976713647471931,0.004492529360098311,-0.00048418428737362004
0,3,1,expert_purity,0.1886677414021164,0.1877170138888889,-0.0009507275132275006
0,3,1,mean_pairwise_task_js,0.013352010401323944,0.012628837973675165,-0.0007231724276487786
0,3,1,normalized_mutual_information,0.008855992142865636,0.008439817343449882,-0.00041617479941575414
0,3,2,expert_purity,0.21494708994708994,0.220744460978836,0.005797371031746046
0,3,2,mean_pairwise_task_js,0.028477878189165244,0.031415096705318564,0.00293721851615332
0,3,2,normalized_mutual_information,0.018986067275871082,0.02099944975981105,0.002013382483939969
0,3,3,expert_purity,0.2668134093915344,0.2721767526455027,0.005363343253968256
0,3,3,mean_pairwise_task_js,0.07085319876512038,0.07507402874264782,0.004220829977527443
0,3,3,normalized_mutual_information,0.04828513665796325,0.051057232219010075,0.0027720955610468223
0,3,4,expert_purity,0.2881117724867725,0.28699570105820105,-0.0011160714285714524
0,3,4,mean_pairwise_task_js,0.08399424374600824,0.08976884618264755,0.005774602436639312
0,3,4,normalized_mutual_information,0.05829608726166973,0.062026068212985,0.0037299809513152704
0,3,5,expert_purity,0.2825107473544973,0.29802207341269843,0.015511326058201103
0,3,5,mean_pairwise_task_js,0.08110473489908164,0.0919540927187515,0.010849357819669864
0,3,5,normalized_mutual_information,0.05630383224959514,0.06529055559635526,0.008986723346760116
0,3,6,expert_purity,0.25965195105820105,0.25991030092592593,0.000258349867724883
0,3,6,mean_pairwise_task_js,0.06284751697721318,0.06518822151716275,0.00234070453994957
0,3,6,normalized_mutual_information,0.04293540233113576,0.04427983447084578,0.001344432139710021
