seed,pair,layer_id,metric_name,same_compute,fixed_step,fixed_minus_same
0,1-2,0,nestedness,0.43712797619047616,0.6192956349206349,0.18216765873015872
0,1-2,0,spearman,0.6848333477973938,0.826218843460083,0.1413854956626892
0,1-2,0,top1_agreement,0.28196304563492064,0.42745535714285715,0.1454923115079365
0,1-2,1,nestedness,0.32958209325396826,0.45231894841269843,0.12273685515873017
0,1-2,1,spearman,0.5522865056991577,0.7120336890220642,0.1597471833229065
0,1-2,1,top1_agreement,0.19543650793650794,0.2963479662698413,0.10091145833333334
0,1-2,2,nestedness,0.2659350198412698,0.3724888392857143,0.10655381944444448
0,1-2,2,spearman,0.4411696493625641,0.5966847538948059,0.15551510453224182
0,1-2,2,top1_agreement,0.1629154265873016,0.23781622023809523,0.07490079365079363
0,1-2,3,nestedness,0.23363095238095238,0.32471478174603174,0.09108382936507936
0,1-2,3,spearman,0.37168413400650024,0.4938715994358063,0.12218746542930603
0,1-2,3,top1_agreement,0.14229910714285715,0.19928075396825398,0.05698164682539683
0,1-2,4,nestedness,0.1801215277777778,0.26209077380952384,0.08196924603174605
0,1-2,4,spearman,0.314460813999176,0.44351130723953247,0.12905049324035645
0,1-2,4,top1_agreement,0.10283358134920635,0.1640625,0.06122891865079365
0,1-2,5,nestedness,0.19143725198412698,0.2679811507936508,0.07654389880952384
0,1-2,5,spearman,0.30242615938186646,0.42111945152282715,0.1186932921409607
0,1-2,5,top1_agreement,0.1111421130952381,0.16880580357142858,0.05766369047619048
0,1-2,6,nestedness,0.1820746527777778,0.24578373015873015,0.06370907738095236
0,1-2,6,spearman,0.27467843890190125,0.4299146234989166,0.15523618459701538
0,1-2,6,top1_agreement,0.10633680555555555,0.1398499503968254,0.033513144841269854
0,1-2,7,nestedness,0.21893601190476192,0.31628224206349204,0.09734623015873012
0,1-2,7,spearman,0.3272395730018616,0.5078354477882385,0.18059587478637695
0,1-2,7,top1_agreement,0.14366319444444445,0.20833333333333334,0.0646701388888889
0,1-3,0,nestedness,0.5679253472222222,0.7282366071428571,0.16031125992063489
0,1-3,0,spearman,0.6999161243438721,0.8222017884254456,0.12228566408157349
0,1-3,0,top1_agreement,0.29138764880952384,0.43461681547619047,0.14322916666666663
0,1-3,1,nestedness,0.44208829365079366,0.5928819444444444,0.15079365079365076
0,1-3,1,spearman,0.5815827250480652,0.7111430168151855,0.12956029176712036
0,1-3,1,top1_agreement,0.2041170634920635,0.2990141369047619,0.09489707341269843
0,1-3,2,nestedness,0.3472222222222222,0.46943204365079366,0.12220982142857145
0,1-3,2,spearman,0.4701480567455292,0.5993958711624146,0.12924781441688538
