seed,pair,metric_name,same_compute,fixed_step,fixed_minus_same
0,1-2,nestedness,0.2548556857638889,0.35761951264880953,0.10276382688492064
0,1-2,spearman,0.40859732031822205,0.5538986921310425,0.14530137181282043
0,1-2,top1_agreement,0.15582372271825398,0.23024398561507936,0.07442026289682538
0,1-3,nestedness,0.34885370163690477,0.4474245101686508,0.09857080853174605
0,1-3,spearman,0.4249442517757416,0.5459343194961548,0.12099006772041321
0,1-3,top1_agreement,0.16098167782738096,0.22711278521825398,0.06613110739087302
0,1-4,nestedness,0.42886594742063494,0.5264524429563492,0.09758649553571425
0,1-4,spearman,0.44286713004112244,0.5555131435394287,0.11264601349830627
0,1-4,top1_agreement,0.16840665302579366,0.23068188864087302,0.06227523561507936
0,1-5,nestedness,0.4894476996527778,0.5896383618551587,0.10019066220238093
0,1-5,spearman,0.4488528072834015,0.5536057949066162,0.10475298762321472
0,1-5,top1_agreement,0.16662791418650794,0.23254588293650794,0.06591796875
0,1-6,nestedness,0.5457744295634921,0.6469649057539683,0.10119047619047616
0,1-6,spearman,0.44979360699653625,0.5573345422744751,0.10754093527793884
0,1-6,top1_agreement,0.16783699156746032,0.23299153645833334,0.06515454489087302
0,1-7,nestedness,0.5961797805059523,0.6892283606150794,0.09304858010912709
0,1-7,spearman,0.45183753967285156,0.5575684309005737,0.10573089122772217
0,1-7,top1_agreement,0.16709681919642858,0.23332093253968253,0.06622411334325395
0,1-8,nestedness,0.6423378596230159,0.7230011470734127,0.08066328745039675
0,1-8,spearman,0.4591774344444275,0.5596761107444763,0.10049867630004883
0,1-8,top1_agreement,0.1702667720734127,0.23656063988095238,0.06629386780753968
0,2-3,coactivation_cosine,0.9357945754482776,0.9498755068908475,0.014080931442569944
0,2-3,nestedness,0.585052005828373,0.6257304842509921,0.04067847842261907
0,2-3,spearman,0.6959874033927917,0.7471542358398438,0.051166832447052
0,2-3,top1_agreement,0.43940662202380953,0.47608196924603174,0.03667534722222221
0,2-3,top_pair_overlap,0.17647058823529413,0.25,0.07352941176470587
0,2-4,coactivation_cosine,0.9228858184494345,0.9408534884840575,0.017967670034622962
0,2-4,nestedness,0.6451028490823413,0.6873663039434523,0.04226345486111105
0,2-4,spearman,0.6875512599945068,0.7341085076332092,0.04655724763870239
0,2-4,top1_agreement,0.4162442646329365,0.4486917162698413,0.03244745163690477
0,2-4,top_pair_overlap,0.0,0.05263157894736842,0.05263157894736842
0,2-5,coactivation_cosine,0.926549063960653,0.9386315990011971,0.012082535040544129
0,2-5,nestedness,0.7106662326388888,0.7398235987103174,0.029157366071428603
0,2-5,spearman,0.6908584237098694,0.7273795008659363,0.036521077156066895
0,2-5,top1_agreement,0.41434151785714285,0.4398987785218254,0.025557260664682557
0,2-5,top_pair_overlap,0.1111111111111111,0.05263157894736842,-0.05847953216374269
0,2-6,coactivation_cosine,0.9174444664763947,0.9289791489535267,0.011534682477132074
0,2-6,nestedness,0.7456713479662699,0.7724202473958334,0.02674889942956349
0,2-6,spearman,0.6803107857704163,0.7217825651168823,0.041471779346466064
0,2-6,top1_agreement,0.4071994357638889,0.4293464781746032,0.0221470424107143
0,2-6,top_pair_overlap,0.05263157894736842,0.05263157894736842,0.0
0,2-7,coactivation_cosine,0.9162460740582984,0.9287769953738884,0.012530921315589971
0,2-7,nestedness,0.7827109685019841,0.8098473927331349,0.027136424231150813
0,2-7,spearman,0.6757284998893738,0.7162633538246155,0.0405348539352417
0,2-7,top1_agreement,0.39991009424603174,0.4166162884424603,0.016706194196428548
0,2-7,top_pair_overlap,0.1111111111111111,0.05263157894736842,-0.05847953216374269
0,2-8,coactivation_cosine,0.9205274721193499,0.93203036070999,0.011502888590640081
0,2-8,nestedness,0.8165050688244048,0.8317638578869048,0.0152587890625
0,2-8,spearman,0.6765998601913452,0.7077877521514893,0.031187891960144043
0,2-8,top1_agreement,0.39494590153769843,0.4118226066468254,0.016876705109126977
0,2-8,top_pair_overlap,0.05263157894736842,0.05263157894736842,0.0
0,3-4,coactivation_cosine,0.9736329626684627,0.9743677716309083,0.0007348089624455989
0,3-4,nestedness,0.6706685061177251,0.6820656105324074,0.011397104414682335
0,3-4,spearman,0.7750918865203857,0.7870363593101501,0.011944472789764404
0,3-4,top1_agreement,0.5233716207837301,0.5314747643849206,0.008103143601190466
0,3-4,top_pair_overlap,0.05263157894736842,0.1111111111111111,0.05847953216374269
0,3-5,coactivation_cosine,0.9729388766196294,0.9735966814570267,0.0006578048373973022
0,3-5,nestedness,0.7329321159887566,0.7355052806712963,0.0025731646825396526
0,3-5,spearman,0.7710005640983582,0.7757918834686279,0.004791319370269775
0,3-5,top1_agreement,0.5117768787202381,0.5136524987599206,0.0018756200396824463
0,3-5,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
0,3-6,coactivation_cosine,0.968983892982225,0.9690504868364709,6.659385424589992e-05
0,3-6,nestedness,0.7695209160052909,0.7778953269675927,0.008374410962301737
0,3-6,spearman,0.7560878396034241,0.7689673900604248,0.012879550457000732
0,3-6,top1_agreement,0.48860289558531744,0.49021112351190477,0.0016082279265873245
0,3-6,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
0,3-7,coactivation_cosine,0.9679547611260895,0.971147562644243,0.0031928015181534875
0,3-7,nestedness,0.8071741174768517,0.8127596416170637,0.0055855241402119615
0,3-7,spearman,0.7488309144973755,0.7594891786575317,0.01065826416015625
0,3-7,top1_agreement,0.4766283792162698,0.4822862413194444,0.0056578621031745935
0,3-7,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
0,3-8,coactivation_cosine,0.9694968152866561,0.9703766961191734,0.0008798808325173324
0,3-8,nestedness,0.8359439587466932,0.8349454365079365,-0.0009985222387567383
0,3-8,spearman,0.744831919670105,0.7486218810081482,0.003789961338043213
0,3-8,top1_agreement,0.4716409350198413,0.46886625744047616,-0.0027746775793651146
0,3-8,top_pair_overlap,0.1111111111111111,0.05263157894736842,-0.05847953216374269
0,4-5,coactivation_cosine,0.9861086406883331,0.9827191744925149,-0.003389466195818258
0,4-5,nestedness,0.73419189453125,0.7264133029513888,-0.0077785915798611605
0,4-5,spearman,0.826283872127533,0.8161824941635132,-0.010101377964019775
0,4-5,top1_agreement,0.5887276785714286,0.5793069506448413,-0.009420727926587324
0,4-5,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
0,4-6,coactivation_cosine,0.9859248747818896,0.9826206832368592,-0.003304191545030366
0,4-6,nestedness,0.7825995551215278,0.7748122442336309,-0.007787310887896859
0,4-6,spearman,0.814790666103363,0.8074988126754761,-0.007291853427886963
0,4-6,top1_agreement,0.5677238343253969,0.5621899801587301,-0.005533854166666741
0,4-6,top_pair_overlap,0.17647058823529413,0.1111111111111111,-0.06535947712418302
0,4-7,coactivation_cosine,0.982242943167019,0.9854852215598978,0.003242278392878828
0,4-7,nestedness,0.8132130456349206,0.8145509750124008,0.0013379293774802292
0,4-7,spearman,0.8005580306053162,0.8033042550086975,0.0027462244033813477
0,4-7,top1_agreement,0.5429920014880952,0.5478321862599206,0.004840184771825351
0,4-7,top_pair_overlap,0.17647058823529413,0.05263157894736842,-0.12383900928792571
0,4-8,coactivation_cosine,0.9800562824362896,0.9837058884835417,0.003649606047252063
0,4-8,nestedness,0.8420632983010913,0.8358212425595238,-0.006242055741567443
0,4-8,spearman,0.7947914004325867,0.78836590051651,-0.00642549991607666
0,4-8,top1_agreement,0.5362645709325397,0.5299517919146826,-0.006312779017857095
0,4-8,top_pair_overlap,0.05263157894736842,0.1111111111111111,0.05847953216374269
0,5-6,coactivation_cosine,0.9917359653601289,0.9883948443913021,-0.003341120968826772
0,5-6,nestedness,0.7775832403273808,0.7610390314980159,-0.016544208829364915
0,5-6,spearman,0.8554423451423645,0.8396084308624268,-0.015833914279937744
0,5-6,top1_agreement,0.6336766803075397,0.6099679129464286,-0.02370876736111105
0,5-6,top_pair_overlap,0.25,0.25,0.0
0,5-7,coactivation_cosine,0.9909370617279261,0.9891288398574555,-0.0018082218704705832
0,5-7,nestedness,0.8197273375496031,0.7999782986111112,-0.019749038938491892
0,5-7,spearman,0.8472601175308228,0.825306236743927,-0.021953880786895752
0,5-7,top1_agreement,0.6149127294146826,0.5929284474206349,-0.021984281994047672
0,5-7,top_pair_overlap,0.17647058823529413,0.1111111111111111,-0.06535947712418302
0,5-8,coactivation_cosine,0.9913051245849964,0.9880084177349576,-0.0032967068500387997
0,5-8,nestedness,0.8491838727678572,0.8254208519345239,-0.02376302083333337
0,5-8,spearman,0.8378506302833557,0.8118625283241272,-0.025988101959228516
0,5-8,top1_agreement,0.5935601128472222,0.5677393353174603,-0.025820777529761862
0,5-8,top_pair_overlap,0.3333333333333333,0.17647058823529413,-0.15686274509803919
0,6-7,coactivation_cosine,0.9938193130619712,0.992357871719927,-0.0014614413420442895
0,6-7,nestedness,0.8054515697337965,0.7835757946841931,-0.021875775049603363
0,6-7,spearman,0.8710500597953796,0.8516551852226257,-0.019394874572753906
0,6-7,top1_agreement,0.661683097718254,0.6259339347718254,-0.0357491629464286
0,6-7,top_pair_overlap,0.42857142857142855,0.17647058823529413,-0.25210084033613445
0,6-8,coactivation_cosine,0.9929983383765163,0.9921253950738256,-0.0008729433026907207
0,6-8,nestedness,0.8374546595982146,0.8196963355654762,-0.01775832403273847
0,6-8,spearman,0.8614146709442139,0.8428497314453125,-0.018564939498901367
0,6-8,top1_agreement,0.6375984312996031,0.607666015625,-0.02993241567460314
0,6-8,top_pair_overlap,0.42857142857142855,0.25,-0.17857142857142855
0,7-8,coactivation_cosine,0.993961335408903,0.994877321952559,0.0009159865436559889
0,7-8,nestedness,0.8283525324192177,0.7965909996811223,-0.031761532738095344
0,7-8,spearman,0.8847222328186035,0.8535674810409546,-0.031154751777648926
0,7-8,top1_agreement,0.6791410900297619,0.6271275111607143,-0.05201357886904756
0,7-8,top_pair_overlap,0.3333333333333333,0.1111111111111111,-0.2222222222222222
1,1-2,nestedness,0.2457759796626984,0.3644166976686508,0.11864071800595241
1,1-2,spearman,0.40143173933029175,0.5631365180015564,0.16170477867126465
1,1-2,top1_agreement,0.15140593998015872,0.23661876860119047,0.08521282862103174
1,1-3,nestedness,0.33461216517857145,0.4632975260416667,0.12868536086309523
1,1-3,spearman,0.41426965594291687,0.5589707493782043,0.14470109343528748
1,1-3,top1_agreement,0.15440538194444445,0.23858351934523808,0.08417813740079363
1,1-4,nestedness,0.41085379464285715,0.5403490823412699,0.12949528769841273
1,1-4,spearman,0.4299381971359253,0.5585567951202393,0.12861859798431396
1,1-4,top1_agreement,0.1623806423611111,0.24029637896825398,0.07791573660714288
1,1-5,nestedness,0.4790620349702381,0.6049572172619048,0.12589518229166669
1,1-5,spearman,0.4375784695148468,0.5632591843605042,0.12568071484565735
1,1-5,top1_agreement,0.16281854538690477,0.23722330729166666,0.07440476190476189
1,1-6,nestedness,0.5321529327876984,0.6521112351190477,0.1199583023313493
1,1-6,spearman,0.44421738386154175,0.5625986456871033,0.11838126182556152
1,1-6,top1_agreement,0.16090029761904762,0.23605298239087302,0.0751526847718254
1,1-7,nestedness,0.5807872953869048,0.7024855840773809,0.12169828869047616
1,1-7,spearman,0.4468044340610504,0.5712723731994629,0.12446793913841248
1,1-7,top1_agreement,0.16067553323412698,0.24179609995039683,0.08112056671626985
1,1-8,nestedness,0.6240815662202381,0.7396065848214286,0.11552501860119047
1,1-8,spearman,0.45223745703697205,0.571193277835846,0.1189558207988739
1,1-8,top1_agreement,0.15971834697420634,0.24218362475198413,0.08246527777777779
1,2-3,coactivation_cosine,0.9420938824168722,0.9395278437275565,-0.0025660386893157083
1,2-3,nestedness,0.5765962146577381,0.6291852678571429,0.05258905319940477
1,2-3,spearman,0.6839717030525208,0.7416501045227051,0.057678401470184326
1,2-3,top1_agreement,0.43888733878968256,0.49016074528769843,0.05127340649801587
1,2-3,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
1,2-4,coactivation_cosine,0.9290946830427986,0.9247045651325495,-0.004390117910249125
1,2-4,nestedness,0.6509641617063492,0.6876724485367064,0.036708286830357206
1,2-4,spearman,0.6764870285987854,0.7250366806983948,0.048549652099609375
1,2-4,top1_agreement,0.4290248325892857,0.465087890625,0.0360630580357143
1,2-4,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
1,2-5,coactivation_cosine,0.9288569300407343,0.9216621417941968,-0.00719478824653752
1,2-5,nestedness,0.712859623015873,0.7454853360615079,0.032625713045634885
1,2-5,spearman,0.6796609163284302,0.7191751599311829,0.039514243602752686
1,2-5,top1_agreement,0.41870892237103174,0.4491761222718254,0.030467199900793662
1,2-5,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
1,2-6,coactivation_cosine,0.9250902221273524,0.9162127523525321,-0.00887746977482029
