metric_type,metric_name,seed,checkpoint_step,train_k,inference_k,train_k_b,inference_k_b,pair,value,extra
logit_cutoff_sanity,top_pair_overlap,0,100,4,2,,4,2-4,0.5384615384615384,derived_from_same_gate_logits
same_weight_infer_path,top1_agreement,0,100,4,1,,2,1-2,0.8703497023809523,
same_weight_infer_path,nestedness,0,100,4,1,,2,1-2,0.9621465773809523,
same_weight_infer_path,spearman,0,100,4,1,,2,1-2,0.9311601519584656,
same_weight_infer_path,top1_agreement,0,100,4,1,,4,1-4,0.8302641369047619,
same_weight_infer_path,nestedness,0,100,4,1,,4,1-4,0.9924665178571429,
same_weight_infer_path,spearman,0,100,4,1,,4,1-4,0.906090497970581,
same_weight_infer_path,top1_agreement,0,100,4,2,,4,2-4,0.9090401785714286,
same_weight_infer_path,nestedness,0,100,4,2,,4,2-4,0.9950241815476191,
same_weight_infer_path,spearman,0,100,4,2,,4,2-4,0.9589800238609314,
same_weight_infer_path,coactivation_cosine,0,100,4,2,,4,2-4,0.9812979326832361,
same_weight_infer_path,top_pair_overlap,0,100,4,2,,4,2-4,0.5384615384615384,
mismatch_cost,validation_loss_delta,0,100,4,1,,,,0.34577131271362305,
mismatch_cost,validation_loss_delta,0,100,4,2,,,,0.1764078140258789,
logit_cutoff_sanity,top1_agreement,0,250,2,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,250,2,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,250,2,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,250,2,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,250,2,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,250,2,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,250,2,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,250,2,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,250,2,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,coactivation_cosine,0,250,2,2,,4,2-4,0.9906427938879357,derived_from_same_gate_logits
logit_cutoff_sanity,top_pair_overlap,0,250,2,2,,4,2-4,0.5384615384615384,derived_from_same_gate_logits
same_weight_infer_path,top1_agreement,0,250,2,1,,2,1-2,0.8351934523809523,
same_weight_infer_path,nestedness,0,250,2,1,,2,1-2,0.9468005952380952,
same_weight_infer_path,spearman,0,250,2,1,,2,1-2,0.9080614447593689,
same_weight_infer_path,top1_agreement,0,250,2,1,,4,1-4,0.7956659226190477,
same_weight_infer_path,nestedness,0,250,2,1,,4,1-4,0.9851190476190477,
same_weight_infer_path,spearman,0,250,2,1,,4,1-4,0.8690808415412903,
same_weight_infer_path,top1_agreement,0,250,2,2,,4,2-4,0.8882998511904762,
same_weight_infer_path,nestedness,0,250,2,2,,4,2-4,0.9913504464285714,
same_weight_infer_path,spearman,0,250,2,2,,4,2-4,0.9434458613395691,
same_weight_infer_path,coactivation_cosine,0,250,2,2,,4,2-4,0.9913960432044442,
same_weight_infer_path,top_pair_overlap,0,250,2,2,,4,2-4,0.5384615384615384,
mismatch_cost,validation_loss_delta,0,250,2,1,,,,0.2847013473510742,
mismatch_cost,validation_loss_delta,0,250,2,4,,,,-0.35353803634643555,
logit_cutoff_sanity,top1_agreement,0,500,1,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,500,1,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,500,1,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,500,1,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,500,1,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,500,1,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,500,1,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,500,1,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,500,1,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,coactivation_cosine,0,500,1,2,,4,2-4,0.9949059471703734,derived_from_same_gate_logits
logit_cutoff_sanity,top_pair_overlap,0,500,1,2,,4,2-4,0.5384615384615384,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,500,2,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,500,2,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,500,2,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,500,2,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,500,2,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,500,2,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,500,2,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,500,2,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,500,2,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,coactivation_cosine,0,500,2,2,,4,2-4,0.9892942008907774,derived_from_same_gate_logits
logit_cutoff_sanity,top_pair_overlap,0,500,2,2,,4,2-4,0.5384615384615384,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,500,4,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,500,4,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,500,4,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,500,4,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,500,4,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,500,4,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,500,4,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,500,4,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,500,4,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,coactivation_cosine,0,500,4,2,,4,2-4,0.9838974574133856,derived_from_same_gate_logits
logit_cutoff_sanity,top_pair_overlap,0,500,4,2,,4,2-4,0.5384615384615384,derived_from_same_gate_logits
same_weight_infer_path,top1_agreement,0,500,1,1,,2,1-2,0.7868303571428571,
same_weight_infer_path,nestedness,0,500,1,1,,2,1-2,0.9230840773809523,
same_weight_infer_path,spearman,0,500,1,1,,2,1-2,0.8949276804924011,
same_weight_infer_path,top1_agreement,0,500,1,1,,4,1-4,0.73828125,
same_weight_infer_path,nestedness,0,500,1,1,,4,1-4,0.9778645833333334,
same_weight_infer_path,spearman,0,500,1,1,,4,1-4,0.8591690063476562,
same_weight_infer_path,top1_agreement,0,500,1,2,,4,2-4,0.8611421130952381,
same_weight_infer_path,nestedness,0,500,1,2,,4,2-4,0.9896763392857143,
same_weight_infer_path,spearman,0,500,1,2,,4,2-4,0.9403566718101501,
same_weight_infer_path,coactivation_cosine,0,500,1,2,,4,2-4,0.9947782572697051,
same_weight_infer_path,top_pair_overlap,0,500,1,2,,4,2-4,0.42857142857142855,
same_weight_infer_path,top1_agreement,0,500,2,1,,2,1-2,0.8338913690476191,
same_weight_infer_path,nestedness,0,500,2,1,,2,1-2,0.9438244047619048,
same_weight_infer_path,spearman,0,500,2,1,,2,1-2,0.9055789709091187,
same_weight_infer_path,top1_agreement,0,500,2,1,,4,1-4,0.7903645833333334,
same_weight_infer_path,nestedness,0,500,2,1,,4,1-4,0.9841889880952381,
same_weight_infer_path,spearman,0,500,2,1,,4,1-4,0.8663792610168457,
same_weight_infer_path,top1_agreement,0,500,2,2,,4,2-4,0.8842075892857143,
same_weight_infer_path,nestedness,0,500,2,2,,4,2-4,0.9920014880952381,
same_weight_infer_path,spearman,0,500,2,2,,4,2-4,0.942305326461792,
same_weight_infer_path,coactivation_cosine,0,500,2,2,,4,2-4,0.990295373702186,
same_weight_infer_path,top_pair_overlap,0,500,2,2,,4,2-4,0.5384615384615384,
same_weight_infer_path,top1_agreement,0,500,4,1,,2,1-2,0.8162202380952381,
same_weight_infer_path,nestedness,0,500,4,1,,2,1-2,0.9294084821428571,
same_weight_infer_path,spearman,0,500,4,1,,2,1-2,0.8918517827987671,
same_weight_infer_path,top1_agreement,0,500,4,1,,4,1-4,0.7678571428571429,
same_weight_infer_path,nestedness,0,500,4,1,,4,1-4,0.9780505952380952,
same_weight_infer_path,spearman,0,500,4,1,,4,1-4,0.8563390374183655,
same_weight_infer_path,top1_agreement,0,500,4,2,,4,2-4,0.8709077380952381,
same_weight_infer_path,nestedness,0,500,4,2,,4,2-4,0.9893043154761905,
same_weight_infer_path,spearman,0,500,4,2,,4,2-4,0.939189612865448,
same_weight_infer_path,coactivation_cosine,0,500,4,2,,4,2-4,0.9819095075190074,
same_weight_infer_path,top_pair_overlap,0,500,4,2,,4,2-4,0.42857142857142855,
matched_train_k_pair,top1_agreement,0,500,1,1,2,2,1-2,0.49813988095238093,
matched_train_k_pair,nestedness,0,500,1,1,2,2,1-2,0.7194010416666666,
matched_train_k_pair,spearman,0,500,1,1,2,2,1-2,0.6567814946174622,
