seed,train_k,layer_id,task_id,task_name,expert_id,count,share
0,1,0,0,general_ko,0,139,0.030164930555555556
0,1,0,0,general_ko,1,183,0.039713541666666664
0,1,0,0,general_ko,2,82,0.017795138888888888
0,1,0,0,general_ko,3,75,0.016276041666666668
0,1,0,0,general_ko,4,182,0.039496527777777776
0,1,0,0,general_ko,5,181,0.03927951388888889
0,1,0,0,general_ko,6,190,0.04123263888888889
0,1,0,0,general_ko,7,178,0.038628472222222224
0,1,0,0,general_ko,8,130,0.028211805555555556
0,1,0,0,general_ko,9,134,0.029079861111111112
0,1,0,0,general_ko,10,137,0.029730902777777776
0,1,0,0,general_ko,11,66,0.014322916666666666
0,1,0,0,general_ko,12,216,0.046875
0,1,0,0,general_ko,13,64,0.013888888888888888
0,1,0,0,general_ko,14,58,0.012586805555555556
0,1,0,0,general_ko,15,282,0.061197916666666664
0,1,0,0,general_ko,16,159,0.034505208333333336
0,1,0,0,general_ko,17,110,0.023871527777777776
0,1,0,0,general_ko,18,141,0.030598958333333332
0,1,0,0,general_ko,19,145,0.03146701388888889
0,1,0,0,general_ko,20,175,0.03797743055555555
0,1,0,0,general_ko,21,201,0.043619791666666664
0,1,0,0,general_ko,22,132,0.028645833333333332
0,1,0,0,general_ko,23,78,0.016927083333333332
0,1,0,0,general_ko,24,102,0.022135416666666668
0,1,0,0,general_ko,25,91,0.019748263888888888
0,1,0,0,general_ko,26,115,0.024956597222222224
0,1,0,0,general_ko,27,180,0.0390625
0,1,0,0,general_ko,28,101,0.021918402777777776
0,1,0,0,general_ko,29,138,0.029947916666666668
0,1,0,0,general_ko,30,192,0.041666666666666664
0,1,0,0,general_ko,31,251,0.05447048611111111
0,1,0,1,general_en,0,49,0.010633680555555556
0,1,0,1,general_en,1,254,0.055121527777777776
0,1,0,1,general_en,2,116,0.025173611111111112
0,1,0,1,general_en,3,59,0.012803819444444444
0,1,0,1,general_en,4,177,0.038411458333333336
0,1,0,1,general_en,5,264,0.057291666666666664
0,1,0,1,general_en,6,158,0.03428819444444445
0,1,0,1,general_en,7,213,0.046223958333333336
0,1,0,1,general_en,8,185,0.04014756944444445
0,1,0,1,general_en,9,163,0.03537326388888889
0,1,0,1,general_en,10,86,0.018663194444444444
0,1,0,1,general_en,11,164,0.035590277777777776
0,1,0,1,general_en,12,245,0.053168402777777776
0,1,0,1,general_en,13,97,0.021050347222222224
0,1,0,1,general_en,14,99,0.021484375
0,1,0,1,general_en,15,248,0.05381944444444445
0,1,0,1,general_en,16,95,0.020616319444444444
0,1,0,1,general_en,17,71,0.015407986111111112
0,1,0,1,general_en,18,148,0.03211805555555555
0,1,0,1,general_en,19,105,0.022786458333333332
0,1,0,1,general_en,20,151,0.032769097222222224
0,1,0,1,general_en,21,112,0.024305555555555556
0,1,0,1,general_en,22,122,0.026475694444444444
0,1,0,1,general_en,23,141,0.030598958333333332
0,1,0,1,general_en,24,71,0.015407986111111112
0,1,0,1,general_en,25,211,0.04578993055555555
0,1,0,1,general_en,26,172,0.03732638888888889
0,1,0,1,general_en,27,151,0.032769097222222224
0,1,0,1,general_en,28,103,0.022352430555555556
0,1,0,1,general_en,29,82,0.017795138888888888
0,1,0,1,general_en,30,115,0.024956597222222224
0,1,0,1,general_en,31,181,0.03927951388888889
0,1,0,2,math_ko,0,79,0.017144097222222224
0,1,0,2,math_ko,1,149,0.03233506944444445
0,1,0,2,math_ko,2,124,0.026909722222222224
0,1,0,2,math_ko,3,152,0.03298611111111111
0,1,0,2,math_ko,4,162,0.03515625
0,1,0,2,math_ko,5,286,0.062065972222222224
0,1,0,2,math_ko,6,153,0.033203125
0,1,0,2,math_ko,7,170,0.03689236111111111
0,1,0,2,math_ko,8,96,0.020833333333333332
0,1,0,2,math_ko,9,193,0.04188368055555555
