gap,n_observations,lohi_mean,lohi_std,hilo_mean,hilo_std,asymmetry_mean,asymmetry_std,asymmetry_ci95_lo,asymmetry_ci95_hi,linear_pred_from_gap1,ratio_vs_linear,hilo_gt_lohi_fraction,hilo_gt_lohi_unanimous
1,56,-0.00524,0.00589,0.05198,0.08781,0.05722,0.08831,0.03357,0.08087,0.05722,1.0,1.0,True
2,48,0.00618,0.01596,0.12703,0.18979,0.12085,0.17613,0.06971,0.172,0.11443,1.056,1.0,True
3,40,0.02987,0.03206,0.23991,0.33445,0.21004,0.30535,0.11238,0.30769,0.17165,1.224,1.0,True
4,32,0.07118,0.04788,0.36483,0.42094,0.29365,0.37801,0.15736,0.42994,0.22887,1.283,1.0,True
5,24,0.13294,0.05675,0.5521,0.50448,0.41916,0.45527,0.22692,0.6114,0.28608,1.465,1.0,True
6,16,0.21402,0.04606,0.86954,0.52741,0.65552,0.49173,0.3935,0.91755,0.3433,1.909,1.0,True
7,8,0.29957,0.0264,1.50735,0.06968,1.20777,0.07913,1.14162,1.27393,0.40052,3.016,1.0,True
