comparison,k,seed_i,seed_j,top1_agreement,nestedness,spearman,hco
within_k,4,3,4,0.037594,0.125817,0.003364,0.00252
within_k,4,3,5,0.041512,0.126956,0.001132,0.007696
within_k,4,3,6,0.029502,0.124477,-0.010703,0.00137
within_k,4,3,7,0.027797,0.123347,-0.001997,-0.003467
within_k,4,4,5,0.030494,0.123659,0.00672,-0.003293
within_k,4,4,6,0.036877,0.128371,0.003769,0.013102
within_k,4,4,7,0.029491,0.125556,-0.000767,0.002808
within_k,4,5,6,0.028642,0.119496,-0.00391,-0.016284
within_k,4,5,7,0.028568,0.12259,-0.009812,-0.007335
within_k,4,6,7,0.027103,0.118267,-0.00453,-0.023014
within_k,5,0,1,0.02803,0.156678,0.002519,0.002234
within_k,5,0,2,0.024681,0.157874,0.01058,0.006437
within_k,5,0,3,0.029615,0.1593,-1.2e-05,0.009322
within_k,5,0,4,0.033564,0.159025,0.003556,0.00842
within_k,5,0,5,0.026863,0.15091,-0.002355,-0.019813
within_k,5,0,6,0.031107,0.154905,-0.003144,-0.005729
within_k,5,0,7,0.032203,0.158783,0.005931,0.008577
within_k,5,1,2,0.033405,0.162801,0.012425,0.023162
within_k,5,1,3,0.039981,0.162685,0.010233,0.021309
within_k,5,1,4,0.037272,0.155625,-0.005795,-0.002184
within_k,5,1,5,0.03511,0.167494,0.023615,0.039606
within_k,5,1,6,0.034277,0.15999,0.003122,0.014404
within_k,5,1,7,0.030076,0.158998,0.003605,0.009239
within_k,5,2,3,0.032668,0.16069,0.009829,0.016491
within_k,5,2,4,0.034079,0.158859,0.00411,0.009304
within_k,5,2,5,0.03063,0.154498,-0.013043,-0.006292
within_k,5,2,6,0.026549,0.149685,-0.01072,-0.021407
within_k,5,2,7,0.031483,0.156221,-0.006062,7.8e-05
within_k,5,3,4,0.034459,0.15527,-0.001985,-0.002738
within_k,5,3,5,0.041252,0.156551,-0.002085,0.002175
within_k,5,3,6,0.029805,0.151833,-0.012225,-0.012944
within_k,5,3,7,0.027154,0.154219,0.002284,-0.006567
within_k,5,4,5,0.031254,0.156531,0.002159,0.00289
within_k,5,4,6,0.034021,0.16121,0.008546,0.015993
within_k,5,4,7,0.028297,0.156652,0.00182,0.0028
within_k,5,5,6,0.027944,0.149478,-0.004793,-0.024024
within_k,5,5,7,0.033595,0.150918,-0.016262,-0.018698
within_k,5,6,7,0.024546,0.148916,-0.001796,-0.025494
within_k,6,0,1,0.030219,0.191326,0.014388,0.015403
within_k,6,0,2,0.035086,0.192422,0.011225,0.019061
within_k,6,0,3,0.02896,0.188239,0.002023,0.002486
within_k,6,0,4,0.036168,0.191703,0.002209,0.014764
